1;Gunther;Pfeffer;W;DanielPfeffer@example.com;Vietnam;13;true
2;Markus;Nice;W;MarkusNice@example.com;Turks & Caicos;46;false
3;Markus;Wagi;W;MarkusWagi@example.com;Bahrain;61;true
4;Alexander;Burghuber;W;AlexanderBurghuber@example.com;United Arab Emirates;82;false
5;Julian;Danninger;M;JulianDanninger@example.com;Iceland;18;false
6;nice;noice;W;nicenoice@example.com;Ecuador;58;false
7;baum;bam;M;baumbam@example.com;Macedonia;14;false
8;lol;lel;M;lollel@example.com;Algeria;52;true
9;lel;lul;W;lellul@example.com;Switzerland;78;false
10;baum;oida;W;baumoida@example.com;Lesotho;71;false
11;grindiga;baum;M;grindigabaum@example.com;Timor L'Este;58;true
12;baum;grindiga;M;baumgrindiga@example.com;Lithuania;72;false
13;Daniel;Pfeffer;W;DanielPfeffer@example.com;Vietnam;13;true
14;Markus;Nice;W;MarkusNice@example.com;Turks & Caicos;46;false
15;Markus;Wagi;W;MarkusWagi@example.com;Bahrain;61;true
16;Alexander;Burghuber;W;AlexanderBurghuber@example.com;United Arab Emirates;82;false
17;Julian;Danninger;M;JulianDanninger@example.com;Iceland;18;false
18;nice;noice;W;nicenoice@example.com;Ecuador;58;false
19;baum;bam;M;baumbam@example.com;Macedonia;14;false
20;lol;lel;M;lollel@example.com;Algeria;52;true
21;lel;lul;W;lellul@example.com;Switzerland;78;false
22;baum;oida;W;baumoida@example.com;Lesotho;71;false
23;grindiga;baum;M;grindigabaum@example.com;Timor L'Este;58;true
24;baum;grindiga;M;baumgrindiga@example.com;Lithuania;72;false
25;Daniel;Pfeffer;W;DanielPfeffer@example.com;Vietnam;13;true
26;Markus;Nice;W;MarkusNice@example.com;Turks & Caicos;46;false
27;Markus;Wagi;W;MarkusWagi@example.com;Bahrain;61;true
28;Alexander;Burghuber;W;AlexanderBurghuber@example.com;United Arab Emirates;82;false
29;Julian;Danninger;M;JulianDanninger@example.com;Iceland;18;false
30;nice;noice;W;nicenoice@example.com;Ecuador;58;false
31;baum;bam;M;baumbam@example.com;Macedonia;14;false
32;lol;lel;M;lollel@example.com;Algeria;52;true
33;lel;lul;W;lellul@example.com;Switzerland;78;false
34;baum;oida;W;baumoida@example.com;Lesotho;71;false
35;grindiga;baum;M;grindigabaum@example.com;Timor L'Este;58;true
36;baum;grindiga;M;baumgrindiga@example.com;Lithuania;72;false
